"index","brewery_name","latitude","longitude","rating"
291,"Lost Nation Brewing","44.5700566","-72.6033129","4.7"
292,"Rising Tide Brewing Company","43.6654737","-70.2572586","4.6"
293,"Rising Tide Brewing Company","43.6654737","-70.2572586","4.6"
294,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
295,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
296,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
297,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
298,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
299,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
300,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
301,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
302,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
303,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
304,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
305,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
306,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
307,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
308,"Rivertowne Brewing Company","40.4213277","-79.6354348","4.6"
309,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
310,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
311,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
312,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
313,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
314,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
315,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
316,"Revolution Brewing Company","41.9421459","-87.7078993","4.6"
317,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
318,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
319,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
320,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
321,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
322,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
323,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
324,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
325,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
326,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
327,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
328,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
329,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
330,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
331,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
332,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
333,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
334,"Tallgrass Brewing Company","39.1427364","-96.6792529","4.5"
335,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
336,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
337,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
338,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
339,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
340,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
341,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
342,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
343,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
344,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
345,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
346,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
347,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
348,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
349,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
350,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
351,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
352,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
353,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
354,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
355,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
356,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
357,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
358,"Sixpoint Craft Ales","40.6740132","-74.0119108","4.5"
359,"White Birch Brewing","42.7888712","-71.5194431","4.7"
360,"White Birch Brewing","42.7888712","-71.5194431","4.7"
361,"White Birch Brewing","42.7888712","-71.5194431","4.7"
362,"White Birch Brewing","42.7888712","-71.5194431","4.7"
363,"Firestone Walker Brewing Company","35.5958774","-120.6943059","4.5"
364,"Firestone Walker Brewing Company","35.5958774","-120.6943059","4.5"
365,"Firestone Walker Brewing Company","35.5958774","-120.6943059","4.5"
366,"Firestone Walker Brewing Company","35.5958774","-120.6943059","4.5"
367,"Firestone Walker Brewing Company","35.5958774","-120.6943059","4.5"
368,"SweetWater Brewing Company","33.8084282","-84.3806531","4.5"
369,"SweetWater Brewing Company","33.8084282","-84.3806531","4.5"
370,"SweetWater Brewing Company","33.8084282","-84.3806531","4.5"
