index,brewery_name,city,state,beer_name,style,ounces,latitude,longitude,rating,abv_percent
62,Brewery Vivant,Grand Rapids, MI,Cherry Doppelbock,Doppelbock,16.0,42.9598071,-85.64612280000001,4.7,6.5
63,Brewery Vivant,Grand Rapids, MI,Tropical Saison,Saison / Farmhouse Ale,16.0,42.9598071,-85.64612280000001,4.7,6.5
64,Brewery Vivant,Grand Rapids, MI,Beach Patrol,Witbier,16.0,42.9598071,-85.64612280000001,4.7,6.5
65,Brewery Vivant,Grand Rapids, MI,Nuit Serpent,Belgian IPA,16.0,42.9598071,-85.64612280000001,4.7,5.0
66,Brewery Vivant,Grand Rapids, MI,Paris,Saison / Farmhouse Ale,16.0,42.9598071,-85.64612280000001,4.7,9.0
67,Brewery Vivant,Grand Rapids, MI,The Grand Army,Belgian IPA,16.0,42.9598071,-85.64612280000001,4.7,5.5
68,Brewery Vivant,Grand Rapids, MI,Acidulated Trip,Saison / Farmhouse Ale,16.0,42.9598071,-85.64612280000001,4.7,5.8999999999999995
69,Brewery Vivant,Grand Rapids, MI,Root Stock,Rye Beer,16.0,42.9598071,-85.64612280000001,4.7,6.6000000000000005
70,Brewery Vivant,Grand Rapids, MI,Mind Games,Dunkelweizen,16.0,42.9598071,-85.64612280000001,4.7,4.1000000000000005
71,Brewery Vivant,Grand Rapids, MI,Sous Chef,Belgian Strong Pale Ale,16.0,42.9598071,-85.64612280000001,4.7,8.2
72,Brewery Vivant,Grand Rapids, MI,Dubbelicious,Dubbel,16.0,42.9598071,-85.64612280000001,4.7,6.5
73,Brewery Vivant,Grand Rapids, MI,Psychopomp,Belgian Dark Ale,16.0,42.9598071,-85.64612280000001,4.7,6.2
76,Brewery Vivant,Grand Rapids, MI,Ski Patrol,Witbier,16.0,42.9598071,-85.64612280000001,4.7,6.1
77,Brewery Vivant,Grand Rapids, MI,Viking Ice Hole,Oatmeal Stout,16.0,42.9598071,-85.64612280000001,4.7,6.3
78,Brewery Vivant,Grand Rapids, MI,Rye Porter,American Porter,16.0,42.9598071,-85.64612280000001,4.7,5.6000000000000005
79,Brewery Vivant,Grand Rapids, MI,Wizard Burial Ground,Quadrupel (Quad),16.0,42.9598071,-85.64612280000001,4.7,9.9
80,Brewery Vivant,Grand Rapids, MI,Smoky Wheat,Rauchbier,16.0,42.9598071,-85.64612280000001,4.7,5.1
81,Brewery Vivant,Grand Rapids, MI,BRIPA,Belgian IPA,16.0,42.9598071,-85.64612280000001,4.7,6.2
82,Brewery Vivant,Grand Rapids, MI,Mela,Belgian Dark Ale,16.0,42.9598071,-85.64612280000001,4.7,6.2
83,Brewery Vivant,Grand Rapids, MI,W.I.P.A Snappa,Belgian IPA,16.0,42.9598071,-85.64612280000001,4.7,5.3
84,Brewery Vivant,Grand Rapids, MI,Pepper in the Rye,Rye Beer,16.0,42.9598071,-85.64612280000001,4.7,6.3
85,Brewery Vivant,Grand Rapids, MI,Moe Lasses',American Stout,16.0,42.9598071,-85.64612280000001,4.7,6.4
86,Brewery Vivant,Grand Rapids, MI,Pumpkin Tart,Fruit / Vegetable Beer,16.0,42.9598071,-85.64612280000001,4.7,7.000000000000001
87,Brewery Vivant,Grand Rapids, MI,Undertaker,Belgian Dark Ale,16.0,42.9598071,-85.64612280000001,4.7,6.7
88,Brewery Vivant,Grand Rapids, MI,Undertaker (2014),Belgian Dark Ale,16.0,42.9598071,-85.64612280000001,4.7,6.7
